지역,latitude,longitude,날짜,연도,분기,지표,값
강원특별자치도,37.8225,128.1555,2018-07-01,2018,Q3,전입률,12.3
충청북도,36.6297,127.921,2018-07-01,2018,Q3,전입률,11.4
충청남도,36.6353,126.7404,2018-07-01,2018,Q3,전입률,12.3
전북특별자치도,35.8175,127.14,2018-07-01,2018,Q3,전입률,11.1
전라남도,34.8006,126.2994,2018-07-01,2018,Q3,전입률,10.2
경상북도,36.1584,128.7364,2018-07-01,2018,Q3,전입률,9.9
경상남도,35.2354,128.6922,2018-07-01,2018,Q3,전입률,10.2
제주특별자치도,33.4996,126.5312,2018-07-01,2018,Q3,전입률,13.2
행정구역(시도)별,,,2018-07-01,2018,Q3,전출률,총전출률(%)
전국,,,2018-07-01,2018,Q3,전출률,12.5
서울특별시,,,2018-07-01,2018,Q3,전출률,14.3
부산광역시,35.1796,129.0756,2018-07-01,2018,Q3,전출률,11.4
대구광역시,35.8714,128.6014,2018-07-01,2018,Q3,전출률,12.3
인천광역시,37.4563,126.7052,2018-07-01,2018,Q3,전출률,12.2
광주광역시,35.1595,126.8526,2018-07-01,2018,Q3,전출률,13.7
대전광역시,36.3504,127.3845,2018-07-01,2018,Q3,전출률,13.7
울산광역시,35.5384,129.3114,2018-07-01,2018,Q3,전출률,10.5
세종특별자치시,36.48,127.289,2018-07-01,2018,Q3,전출률,17.7
경기도,37.4138,127.5183,2018-07-01,2018,Q3,전출률,13.1
강원특별자치도,37.8225,128.1555,2018-07-01,2018,Q3,전출률,12.5
충청북도,36.6297,127.921,2018-07-01,2018,Q3,전출률,11.2
충청남도,36.6353,126.7404,2018-07-01,2018,Q3,전출률,12.0
전북특별자치도,35.8175,127.14,2018-07-01,2018,Q3,전출률,11.9
전라남도,34.8006,126.2994,2018-07-01,2018,Q3,전출률,11.1
경상북도,36.1584,128.7364,2018-07-01,2018,Q3,전출률,10.3
경상남도,35.2354,128.6922,2018-07-01,2018,Q3,전출률,10.4
제주특별자치도,33.4996,126.5312,2018-07-01,2018,Q3,전출률,11.9
행정구역(시도)별,,,2018-07-01,2018,Q3,순이동률,순이동률(%)
전국,,,2018-07-01,2018,Q3,순이동률,0.0
서울특별시,,,2018-07-01,2018,Q3,순이동률,-1.1
부산광역시,35.1796,129.0756,2018-07-01,2018,Q3,순이동률,-0.7
대구광역시,35.8714,128.6014,2018-07-01,2018,Q3,순이동률,-0.6
인천광역시,37.4563,126.7052,2018-07-01,2018,Q3,순이동률,-0.3
광주광역시,35.1595,126.8526,2018-07-01,2018,Q3,순이동률,0.1
대전광역시,36.3504,127.3845,2018-07-01,2018,Q3,순이동률,-0.5
울산광역시,35.5384,129.3114,2018-07-01,2018,Q3,순이동률,-1.1
세종특별자치시,36.48,127.289,2018-07-01,2018,Q3,순이동률,9.3
경기도,37.4138,127.5183,2018-07-01,2018,Q3,순이동률,1.3
강원특별자치도,37.8225,128.1555,2018-07-01,2018,Q3,순이동률,-0.1
충청북도,36.6297,127.921,2018-07-01,2018,Q3,순이동률,0.2
충청남도,36.6353,126.7404,2018-07-01,2018,Q3,순이동률,0.3
전북특별자치도,35.8175,127.14,2018-07-01,2018,Q3,순이동률,-0.7
전라남도,34.8006,126.2994,2018-07-01,2018,Q3,순이동률,-0.9
경상북도,36.1584,128.7364,2018-07-01,2018,Q3,순이동률,-0.3
경상남도,35.2354,128.6922,2018-07-01,2018,Q3,순이동률,-0.2
제주특별자치도,33.4996,126.5312,2018-07-01,2018,Q3,순이동률,1.3
행정구역(시도)별,,,2018-10-01,2018,Q4,전입률,총전입률(%)
전국,,,2018-10-01,2018,Q4,전입률,14.5
서울특별시,,,2018-10-01,2018,Q4,전입률,15.5
부산광역시,35.1796,129.0756,2018-10-01,2018,Q4,전입률,11.8
대구광역시,35.8714,128.6014,2018-10-01,2018,Q4,전입률,13.8
인천광역시,37.4563,126.7052,2018-10-01,2018,Q4,전입률,14.8
광주광역시,35.1595,126.8526,2018-10-01,2018,Q4,전입률,15.4
대전광역시,36.3504,127.3845,2018-10-01,2018,Q4,전입률,14.5
울산광역시,35.5384,129.3114,2018-10-01,2018,Q4,전입률,10.8
세종특별자치시,36.48,127.289,2018-10-01,2018,Q4,전입률,23.3
경기도,37.4138,127.5183,2018-10-01,2018,Q4,전입률,16.3
강원특별자치도,37.8225,128.1555,2018-10-01,2018,Q4,전입률,14.9
충청북도,36.6297,127.921,2018-10-01,2018,Q4,전입률,16.3
충청남도,36.6353,126.7404,2018-10-01,2018,Q4,전입률,13.2
전북특별자치도,35.8175,127.14,2018-10-01,2018,Q4,전입률,12.9
전라남도,34.8006,126.2994,2018-10-01,2018,Q4,전입률,12.6
경상북도,36.1584,128.7364,2018-10-01,2018,Q4,전입률,11.7
경상남도,35.2354,128.6922,2018-10-01,2018,Q4,전입률,11.0
제주특별자치도,33.4996,126.5312,2018-10-01,2018,Q4,전입률,14.4
행정구역(시도)별,,,2018-10-01,2018,Q4,전출률,총전출률(%)
전국,,,2018-10-01,2018,Q4,전출률,14.5
서울특별시,,,2018-10-01,2018,Q4,전출률,16.8
부산광역시,35.1796,129.0756,2018-10-01,2018,Q4,전출률,12.6
대구광역시,35.8714,128.6014,2018-10-01,2018,Q4,전출률,14.5
인천광역시,37.4563,126.7052,2018-10-01,2018,Q4,전출률,14.8
광주광역시,35.1595,126.8526,2018-10-01,2018,Q4,전출률,16.1
대전광역시,36.3504,127.3845,2018-10-01,2018,Q4,전출률,15.7
울산광역시,35.5384,129.3114,2018-10-01,2018,Q4,전출률,11.7
세종특별자치시,36.48,127.289,2018-10-01,2018,Q4,전출률,16.4
경기도,37.4138,127.5183,2018-10-01,2018,Q4,전출률,15.0
강원특별자치도,37.8225,128.1555,2018-10-01,2018,Q4,전출률,14.9
충청북도,36.6297,127.921,2018-10-01,2018,Q4,전출률,15.6
충청남도,36.6353,126.7404,2018-10-01,2018,Q4,전출률,12.7
전북특별자치도,35.8175,127.14,2018-10-01,2018,Q4,전출률,13.4
전라남도,34.8006,126.2994,2018-10-01,2018,Q4,전출률,12.2
경상북도,36.1584,128.7364,2018-10-01,2018,Q4,전출률,11.6
경상남도,35.2354,128.6922,2018-10-01,2018,Q4,전출률,11.2
제주특별자치도,33.4996,126.5312,2018-10-01,2018,Q4,전출률,14.0
행정구역(시도)별,,,2018-10-01,2018,Q4,순이동률,순이동률(%)
전국,,,2018-10-01,2018,Q4,순이동률,0.0
서울특별시,,,2018-10-01,2018,Q4,순이동률,-1.3
부산광역시,35.1796,129.0756,2018-10-01,2018,Q4,순이동률,-0.8
대구광역시,35.8714,128.6014,2018-10-01,2018,Q4,순이동률,-0.8
인천광역시,37.4563,126.7052,2018-10-01,2018,Q4,순이동률,0.0
광주광역시,35.1595,126.8526,2018-10-01,2018,Q4,순이동률,-0.7
대전광역시,36.3504,127.3845,2018-10-01,2018,Q4,순이동률,-1.1
울산광역시,35.5384,129.3114,2018-10-01,2018,Q4,순이동률,-0.9
세종특별자치시,36.48,127.289,2018-10-01,2018,Q4,순이동률,6.9
경기도,37.4138,127.5183,2018-10-01,2018,Q4,순이동률,1.3
강원특별자치도,37.8225,128.1555,2018-10-01,2018,Q4,순이동률,0.1
충청북도,36.6297,127.921,2018-10-01,2018,Q4,순이동률,0.7
충청남도,36.6353,126.7404,2018-10-01,2018,Q4,순이동률,0.6
전북특별자치도,35.8175,127.14,2018-10-01,2018,Q4,순이동률,-0.6
전라남도,34.8006,126.2994,2018-10-01,2018,Q4,순이동률,0.4
경상북도,36.1584,128.7364,2018-10-01,2018,Q4,순이동률,0.1
경상남도,35.2354,128.6922,2018-10-01,2018,Q4,순이동률,-0.2
제주특별자치도,33.4996,126.5312,2018-10-01,2018,Q4,순이동률,0.4
행정구역(시도)별,,,2019-01-01,2019,Q1,전입률,총전입률(%)
전국,,,2019-01-01,2019,Q1,전입률,15.9
서울특별시,,,2019-01-01,2019,Q1,전입률,17.4
부산광역시,35.1796,129.0756,2019-01-01,2019,Q1,전입률,13.6
대구광역시,35.8714,128.6014,2019-01-01,2019,Q1,전입률,14.7
인천광역시,37.4563,126.7052,2019-01-01,2019,Q1,전입률,15.9
광주광역시,35.1595,126.8526,2019-01-01,2019,Q1,전입률,17.1
대전광역시,36.3504,127.3845,2019-01-01,2019,Q1,전입률,16.9
울산광역시,35.5384,129.3114,2019-01-01,2019,Q1,전입률,14.5
세종특별자치시,36.48,127.289,2019-01-01,2019,Q1,전입률,30.9
경기도,37.4138,127.5183,2019-01-01,2019,Q1,전입률,16.4
강원특별자치도,37.8225,128.1555,2019-01-01,2019,Q1,전입률,16.9
충청북도,36.6297,127.921,2019-01-01,2019,Q1,전입률,15.3
충청남도,36.6353,126.7404,2019-01-01,2019,Q1,전입률,14.7
전북특별자치도,35.8175,127.14,2019-01-01,2019,Q1,전입률,15.3
전라남도,34.8006,126.2994,2019-01-01,2019,Q1,전입률,13.7
경상북도,36.1584,128.7364,2019-01-01,2019,Q1,전입률,13.6
경상남도,35.2354,128.6922,2019-01-01,2019,Q1,전입률,14.3
제주특별자치도,33.4996,126.5312,2019-01-01,2019,Q1,전입률,18.8
행정구역(시도)별,,,2019-01-01,2019,Q1,전출률,총전출률(%)
전국,,,2019-01-01,2019,Q1,전출률,15.9
서울특별시,,,2019-01-01,2019,Q1,전출률,17.3
부산광역시,35.1796,129.0756,2019-01-01,2019,Q1,전출률,14.3
대구광역시,35.8714,128.6014,2019-01-01,2019,Q1,전출률,15.6
인천광역시,37.4563,126.7052,2019-01-01,2019,Q1,전출률,15.8
광주광역시,35.1595,126.8526,2019-01-01,2019,Q1,전출률,17.3
대전광역시,36.3504,127.3845,2019-01-01,2019,Q1,전출률,17.9
울산광역시,35.5384,129.3114,2019-01-01,2019,Q1,전출률,15.7
세종특별자치시,36.48,127.289,2019-01-01,2019,Q1,전출률,20.9
경기도,37.4138,127.5183,2019-01-01,2019,Q1,전출률,15.4
강원특별자치도,37.8225,128.1555,2019-01-01,2019,Q1,전출률,17.3
충청북도,36.6297,127.921,2019-01-01,2019,Q1,전출률,15.4
충청남도,36.6353,126.7404,2019-01-01,2019,Q1,전출률,14.8
전북특별자치도,35.8175,127.14,2019-01-01,2019,Q1,전출률,16.4
전라남도,34.8006,126.2994,2019-01-01,2019,Q1,전출률,15.3
경상북도,36.1584,128.7364,2019-01-01,2019,Q1,전출률,14.3
경상남도,35.2354,128.6922,2019-01-01,2019,Q1,전출률,14.8
제주특별자치도,33.4996,126.5312,2019-01-01,2019,Q1,전출률,18.4
행정구역(시도)별,,,2019-01-01,2019,Q1,순이동률,순이동률(%)
전국,,,2019-01-01,2019,Q1,순이동률,0.0
서울특별시,,,2019-01-01,2019,Q1,순이동률,0.1
부산광역시,35.1796,129.0756,2019-01-01,2019,Q1,순이동률,-0.7
대구광역시,35.8714,128.6014,2019-01-01,2019,Q1,순이동률,-1.0
인천광역시,37.4563,126.7052,2019-01-01,2019,Q1,순이동률,0.1
광주광역시,35.1595,126.8526,2019-01-01,2019,Q1,순이동률,-0.2
대전광역시,36.3504,127.3845,2019-01-01,2019,Q1,순이동률,-1.0
울산광역시,35.5384,129.3114,2019-01-01,2019,Q1,순이동률,-1.2
세종특별자치시,36.48,127.289,2019-01-01,2019,Q1,순이동률,10.0
경기도,37.4138,127.5183,2019-01-01,2019,Q1,순이동률,1.0
강원특별자치도,37.8225,128.1555,2019-01-01,2019,Q1,순이동률,-0.5
충청북도,36.6297,127.921,2019-01-01,2019,Q1,순이동률,0.0
충청남도,36.6353,126.7404,2019-01-01,2019,Q1,순이동률,0.0
전북특별자치도,35.8175,127.14,2019-01-01,2019,Q1,순이동률,-1.1
전라남도,34.8006,126.2994,2019-01-01,2019,Q1,순이동률,-1.6
경상북도,36.1584,128.7364,2019-01-01,2019,Q1,순이동률,-0.6
경상남도,35.2354,128.6922,2019-01-01,2019,Q1,순이동률,-0.5
제주특별자치도,33.4996,126.5312,2019-01-01,2019,Q1,순이동률,0.5
행정구역(시도)별,,,2019-04-01,2019,Q2,전입률,총전입률(%)
전국,,,2019-04-01,2019,Q2,전입률,12.8
서울특별시,,,2019-04-01,2019,Q2,전입률,13.4
부산광역시,35.1796,129.0756,2019-04-01,2019,Q2,전입률,11.4
대구광역시,35.8714,128.6014,2019-04-01,2019,Q2,전입률,12.1
인천광역시,37.4563,126.7052,2019-04-01,2019,Q2,전입률,14.2
광주광역시,35.1595,126.8526,2019-04-01,2019,Q2,전입률,13.6
대전광역시,36.3504,127.3845,2019-04-01,2019,Q2,전입률,12.3
울산광역시,35.5384,129.3114,2019-04-01,2019,Q2,전입률,12.3
세종특별자치시,36.48,127.289,2019-04-01,2019,Q2,전입률,20.1
경기도,37.4138,127.5183,2019-04-01,2019,Q2,전입률,14.1
강원특별자치도,37.8225,128.1555,2019-04-01,2019,Q2,전입률,13.3
충청북도,36.6297,127.921,2019-04-01,2019,Q2,전입률,11.6
충청남도,36.6353,126.7404,2019-04-01,2019,Q2,전입률,11.2
전북특별자치도,35.8175,127.14,2019-04-01,2019,Q2,전입률,11.2
전라남도,34.8006,126.2994,2019-04-01,2019,Q2,전입률,10.9
경상북도,36.1584,128.7364,2019-04-01,2019,Q2,전입률,11.1
경상남도,35.2354,128.6922,2019-04-01,2019,Q2,전입률,10.8
제주특별자치도,33.4996,126.5312,2019-04-01,2019,Q2,전입률,12.8
행정구역(시도)별,,,2019-04-01,2019,Q2,전출률,총전출률(%)
전국,,,2019-04-01,2019,Q2,전출률,12.8
서울특별시,,,2019-04-01,2019,Q2,전출률,14.1
부산광역시,35.1796,129.0756,2019-04-01,2019,Q2,전출률,12.1
대구광역시,35.8714,128.6014,2019-04-01,2019,Q2,전출률,13.0
인천광역시,37.4563,126.7052,2019-04-01,2019,Q2,전출률,14.3
광주광역시,35.1595,126.8526,2019-04-01,2019,Q2,전출률,13.7
대전광역시,36.3504,127.3845,2019-04-01,2019,Q2,전출률,13.4
울산광역시,35.5384,129.3114,2019-04-01,2019,Q2,전출률,13.1
세종특별자치시,36.48,127.289,2019-04-01,2019,Q2,전출률,14.8
경기도,37.4138,127.5183,2019-04-01,2019,Q2,전출률,13.0
강원특별자치도,37.8225,128.1555,2019-04-01,2019,Q2,전출률,13.1
충청북도,36.6297,127.921,2019-04-01,2019,Q2,전출률,11.3
충청남도,36.6353,126.7404,2019-04-01,2019,Q2,전출률,11.1
전북특별자치도,35.8175,127.14,2019-04-01,2019,Q2,전출률,11.8
전라남도,34.8006,126.2994,2019-04-01,2019,Q2,전출률,11.5
경상북도,36.1584,128.7364,2019-04-01,2019,Q2,전출률,11.1
경상남도,35.2354,128.6922,2019-04-01,2019,Q2,전출률,11.1
제주특별자치도,33.4996,126.5312,2019-04-01,2019,Q2,전출률,11.9
행정구역(시도)별,,,2019-04-01,2019,Q2,순이동률,순이동률(%)
전국,,,2019-04-01,2019,Q2,순이동률,0.0
서울특별시,,,2019-04-01,2019,Q2,순이동률,-0.7
부산광역시,35.1796,129.0756,2019-04-01,2019,Q2,순이동률,-0.7
대구광역시,35.8714,128.6014,2019-04-01,2019,Q2,순이동률,-0.9
인천광역시,37.4563,126.7052,2019-04-01,2019,Q2,순이동률,-0.1
광주광역시,35.1595,126.8526,2019-04-01,2019,Q2,순이동률,-0.1
대전광역시,36.3504,127.3845,2019-04-01,2019,Q2,순이동률,-1.1
울산광역시,35.5384,129.3114,2019-04-01,2019,Q2,순이동률,-0.8
세종특별자치시,36.48,127.289,2019-04-01,2019,Q2,순이동률,5.2
경기도,37.4138,127.5183,2019-04-01,2019,Q2,순이동률,1.1
강원특별자치도,37.8225,128.1555,2019-04-01,2019,Q2,순이동률,0.3
충청북도,36.6297,127.921,2019-04-01,2019,Q2,순이동률,0.3
충청남도,36.6353,126.7404,2019-04-01,2019,Q2,순이동률,0.1
전북특별자치도,35.8175,127.14,2019-04-01,2019,Q2,순이동률,-0.6
전라남도,34.8006,126.2994,2019-04-01,2019,Q2,순이동률,-0.5
경상북도,36.1584,128.7364,2019-04-01,2019,Q2,순이동률,0.0
경상남도,35.2354,128.6922,2019-04-01,2019,Q2,순이동률,-0.3
제주특별자치도,33.4996,126.5312,2019-04-01,2019,Q2,순이동률,0.8
행정구역(시도)별,,,2019-07-01,2019,Q3,전입률,총전입률(%)
전국,,,2019-07-01,2019,Q3,전입률,12.7
서울특별시,,,2019-07-01,2019,Q3,전입률,13.5
부산광역시,35.1796,129.0756,2019-07-01,2019,Q3,전입률,11.0
대구광역시,35.8714,128.6014,2019-07-01,2019,Q3,전입률,11.4
인천광역시,37.4563,126.7052,2019-07-01,2019,Q3,전입률,13.4
광주광역시,35.1595,126.8526,2019-07-01,2019,Q3,전입률,14.5
대전광역시,36.3504,127.3845,2019-07-01,2019,Q3,전입률,13.5
울산광역시,35.5384,129.3114,2019-07-01,2019,Q3,전입률,10.7
세종특별자치시,36.48,127.289,2019-07-01,2019,Q3,전입률,24.1
경기도,37.4138,127.5183,2019-07-01,2019,Q3,전입률,14.4
강원특별자치도,37.8225,128.1555,2019-07-01,2019,Q3,전입률,12.9
충청북도,36.6297,127.921,2019-07-01,2019,Q3,전입률,11.5
충청남도,36.6353,126.7404,2019-07-01,2019,Q3,전입률,11.3
전북특별자치도,35.8175,127.14,2019-07-01,2019,Q3,전입률,11.1
전라남도,34.8006,126.2994,2019-07-01,2019,Q3,전입률,10.5
경상북도,36.1584,128.7364,2019-07-01,2019,Q3,전입률,9.7
경상남도,35.2354,128.6922,2019-07-01,2019,Q3,전입률,10.5
제주특별자치도,33.4996,126.5312,2019-07-01,2019,Q3,전입률,12.1
행정구역(시도)별,,,2019-07-01,2019,Q3,전출률,총전출률(%)
전국,,,2019-07-01,2019,Q3,전출률,12.7
서울특별시,,,2019-07-01,2019,Q3,전출률,14.3
부산광역시,35.1796,129.0756,2019-07-01,2019,Q3,전출률,11.6
대구광역시,35.8714,128.6014,2019-07-01,2019,Q3,전출률,12.2
인천광역시,37.4563,126.7052,2019-07-01,2019,Q3,전출률,13.6
광주광역시,35.1595,126.8526,2019-07-01,2019,Q3,전출률,14.4
대전광역시,36.3504,127.3845,2019-07-01,2019,Q3,전출률,14.5
울산광역시,35.5384,129.3114,2019-07-01,2019,Q3,전출률,11.4
세종특별자치시,36.48,127.289,2019-07-01,2019,Q3,전출률,17.5
경기도,37.4138,127.5183,2019-07-01,2019,Q3,전출률,13.2
강원특별자치도,37.8225,128.1555,2019-07-01,2019,Q3,전출률,12.7
충청북도,36.6297,127.921,2019-07-01,2019,Q3,전출률,11.5
충청남도,36.6353,126.7404,2019-07-01,2019,Q3,전출률,11.5
전북특별자치도,35.8175,127.14,2019-07-01,2019,Q3,전출률,11.7
전라남도,34.8006,126.2994,2019-07-01,2019,Q3,전출률,11.2
경상북도,36.1584,128.7364,2019-07-01,2019,Q3,전출률,10.0
경상남도,35.2354,128.6922,2019-07-01,2019,Q3,전출률,10.7
제주특별자치도,33.4996,126.5312,2019-07-01,2019,Q3,전출률,11.7
행정구역(시도)별,,,2019-07-01,2019,Q3,순이동률,순이동률(%)
전국,,,2019-07-01,2019,Q3,순이동률,0.0
서울특별시,,,2019-07-01,2019,Q3,순이동률,-0.8
부산광역시,35.1796,129.0756,2019-07-01,2019,Q3,순이동률,-0.6
대구광역시,35.8714,128.6014,2019-07-01,2019,Q3,순이동률,-0.8
인천광역시,37.4563,126.7052,2019-07-01,2019,Q3,순이동률,-0.2
광주광역시,35.1595,126.8526,2019-07-01,2019,Q3,순이동률,0.1
대전광역시,36.3504,127.3845,2019-07-01,2019,Q3,순이동률,-1.0
울산광역시,35.5384,129.3114,2019-07-01,2019,Q3,순이동률,-0.7
세종특별자치시,36.48,127.289,2019-07-01,2019,Q3,순이동률,6.6
경기도,37.4138,127.5183,2019-07-01,2019,Q3,순이동률,1.2
강원특별자치도,37.8225,128.1555,2019-07-01,2019,Q3,순이동률,0.2
충청북도,36.6297,127.921,2019-07-01,2019,Q3,순이동률,0.0
충청남도,36.6353,126.7404,2019-07-01,2019,Q3,순이동률,-0.1
전북특별자치도,35.8175,127.14,2019-07-01,2019,Q3,순이동률,-0.6
전라남도,34.8006,126.2994,2019-07-01,2019,Q3,순이동률,-0.7
경상북도,36.1584,128.7364,2019-07-01,2019,Q3,순이동률,-0.2
경상남도,35.2354,128.6922,2019-07-01,2019,Q3,순이동률,-0.3
제주특별자치도,33.4996,126.5312,2019-07-01,2019,Q3,순이동률,0.4
행정구역(시도)별,,,2019-10-01,2019,Q4,전입률,총전입률(%)
전국,,,2019-10-01,2019,Q4,전입률,14.0
서울특별시,,,2019-10-01,2019,Q4,전입률,15.3
부산광역시,35.1796,129.0756,2019-10-01,2019,Q4,전입률,12.5
대구광역시,35.8714,128.6014,2019-10-01,2019,Q4,전입률,13.3
인천광역시,37.4563,126.7052,2019-10-01,2019,Q4,전입률,14.0
광주광역시,35.1595,126.8526,2019-10-01,2019,Q4,전입률,14.7
대전광역시,36.3504,127.3845,2019-10-01,2019,Q4,전입률,15.0
울산광역시,35.5384,129.3114,2019-10-01,2019,Q4,전입률,12.1
세종특별자치시,36.48,127.289,2019-10-01,2019,Q4,전입률,26.0
경기도,37.4138,127.5183,2019-10-01,2019,Q4,전입률,14.6
강원특별자치도,37.8225,128.1555,2019-10-01,2019,Q4,전입률,14.0
충청북도,36.6297,127.921,2019-10-01,2019,Q4,전입률,14.8
충청남도,36.6353,126.7404,2019-10-01,2019,Q4,전입률,11.8
전북특별자치도,35.8175,127.14,2019-10-01,2019,Q4,전입률,12.8
전라남도,34.8006,126.2994,2019-10-01,2019,Q4,전입률,13.2
경상북도,36.1584,128.7364,2019-10-01,2019,Q4,전입률,11.7
경상남도,35.2354,128.6922,2019-10-01,2019,Q4,전입률,11.8
제주특별자치도,33.4996,126.5312,2019-10-01,2019,Q4,전입률,13.6
행정구역(시도)별,,,2019-10-01,2019,Q4,전출률,총전출률(%)
전국,,,2019-10-01,2019,Q4,전출률,14.0
서울특별시,,,2019-10-01,2019,Q4,전출률,15.9
부산광역시,35.1796,129.0756,2019-10-01,2019,Q4,전출률,13.3
대구광역시,35.8714,128.6014,2019-10-01,2019,Q4,전출률,14.4
인천광역시,37.4563,126.7052,2019-10-01,2019,Q4,전출률,14.1
광주광역시,35.1595,126.8526,2019-10-01,2019,Q4,전출률,15.6
대전광역시,36.3504,127.3845,2019-10-01,2019,Q4,전출률,16.4
울산광역시,35.5384,129.3114,2019-10-01,2019,Q4,전출률,12.9
세종특별자치시,36.48,127.289,2019-10-01,2019,Q4,전출률,18.7
경기도,37.4138,127.5183,2019-10-01,2019,Q4,전출률,13.8
강원특별자치도,37.8225,128.1555,2019-10-01,2019,Q4,전출률,13.5
충청북도,36.6297,127.921,2019-10-01,2019,Q4,전출률,14.4
충청남도,36.6353,126.7404,2019-10-01,2019,Q4,전출률,11.9
전북특별자치도,35.8175,127.14,2019-10-01,2019,Q4,전출률,13.4
전라남도,34.8006,126.2994,2019-10-01,2019,Q4,전출률,12.3
경상북도,36.1584,128.7364,2019-10-01,2019,Q4,전출률,11.6
경상남도,35.2354,128.6922,2019-10-01,2019,Q4,전출률,11.9
제주특별자치도,33.4996,126.5312,2019-10-01,2019,Q4,전출률,13.5
행정구역(시도)별,,,2019-10-01,2019,Q4,순이동률,순이동률(%)
전국,,,2019-10-01,2019,Q4,순이동률,0.0
서울특별시,,,2019-10-01,2019,Q4,순이동률,-0.6
부산광역시,35.1796,129.0756,2019-10-01,2019,Q4,순이동률,-0.7
대구광역시,35.8714,128.6014,2019-10-01,2019,Q4,순이동률,-1.2
인천광역시,37.4563,126.7052,2019-10-01,2019,Q4,순이동률,-0.1
광주광역시,35.1595,126.8526,2019-10-01,2019,Q4,순이동률,-0.9
대전광역시,36.3504,127.3845,2019-10-01,2019,Q4,순이동률,-1.3
울산광역시,35.5384,129.3114,2019-10-01,2019,Q4,순이동률,-0.8
세종특별자치시,36.48,127.289,2019-10-01,2019,Q4,순이동률,7.3
경기도,37.4138,127.5183,2019-10-01,2019,Q4,순이동률,0.8
강원특별자치도,37.8225,128.1555,2019-10-01,2019,Q4,순이동률,0.5
충청북도,36.6297,127.921,2019-10-01,2019,Q4,순이동률,0.4
충청남도,36.6353,126.7404,2019-10-01,2019,Q4,순이동률,-0.1
전북특별자치도,35.8175,127.14,2019-10-01,2019,Q4,순이동률,-0.5
전라남도,34.8006,126.2994,2019-10-01,2019,Q4,순이동률,1.0
경상북도,36.1584,128.7364,2019-10-01,2019,Q4,순이동률,0.2
경상남도,35.2354,128.6922,2019-10-01,2019,Q4,순이동률,-0.1
제주특별자치도,33.4996,126.5312,2019-10-01,2019,Q4,순이동률,0.1
행정구역(시도)별,,,2020-01-01,2020,Q1,전입률,총전입률(%)
전국,,,2020-01-01,2020,Q1,전입률,17.2
서울특별시,,,2020-01-01,2020,Q1,전입률,19.6
부산광역시,35.1796,129.0756,2020-01-01,2020,Q1,전입률,16.3
대구광역시,35.8714,128.6014,2020-01-01,2020,Q1,전입률,15.9
인천광역시,37.4563,126.7052,2020-01-01,2020,Q1,전입률,15.7
광주광역시,35.1595,126.8526,2020-01-01,2020,Q1,전입률,17.7
대전광역시,36.3504,127.3845,2020-01-01,2020,Q1,전입률,18.5
울산광역시,35.5384,129.3114,2020-01-01,2020,Q1,전입률,14.5
세종특별자치시,36.48,127.289,2020-01-01,2020,Q1,전입률,27.4
경기도,37.4138,127.5183,2020-01-01,2020,Q1,전입률,18.2
강원특별자치도,37.8225,128.1555,2020-01-01,2020,Q1,전입률,17.8
충청북도,36.6297,127.921,2020-01-01,2020,Q1,전입률,16.0
충청남도,36.6353,126.7404,2020-01-01,2020,Q1,전입률,15.1
전북특별자치도,35.8175,127.14,2020-01-01,2020,Q1,전입률,15.7
전라남도,34.8006,126.2994,2020-01-01,2020,Q1,전입률,14.2
경상북도,36.1584,128.7364,2020-01-01,2020,Q1,전입률,13.9
경상남도,35.2354,128.6922,2020-01-01,2020,Q1,전입률,15.1
제주특별자치도,33.4996,126.5312,2020-01-01,2020,Q1,전입률,17.8
행정구역(시도)별,,,2020-01-01,2020,Q1,전출률,총전출률(%)
전국,,,2020-01-01,2020,Q1,전출률,17.2
서울특별시,,,2020-01-01,2020,Q1,전출률,19.4
